iter	RMSE
0	49462.09226
1	47698.07641
2	46157.51934
3	44805.17791
4	43505.83254
5	42187.58667
6	40807.75146
7	39401.38939
8	38192.44401
9	37203.93916
10	36144.7745
11	35182.3962
12	34365.26307
13	33578.71107
14	32733.09091
15	32149.41591
16	31636.07328
17	31130.14491
18	30732.75155
19	30138.84675
20	29678.76794
21	29049.88902
22	28590.49854
23	28288.23005
24	27848.30601
25	27509.62861
26	27185.42267
27	26928.96694
28	26643.5406
29	26240.50197
30	25986.97095
31	25651.50116
32	25325.4578
33	25129.23892
34	24917.27954
35	24761.99389
36	24636.95787
37	24474.18813
38	24291.35669
39	24100.79846
40	23965.15487
41	23778.80676
42	23623.3438
43	23489.16655
44	23367.49638
45	23209.40321
46	23101.95671
47	23045.39255
48	22857.34449
49	22773.51355
50	22662.79002
51	22615.4715
52	22546.79616
53	22510.31102
54	22459.15498
55	22298.77333
56	22145.36924
57	22056.56788
58	21925.70698
59	21883.22486
60	21866.8173
61	21829.46444
62	21681.5849
63	21574.3077
64	21474.868
65	21459.91834
66	21420.75737
67	21370.93335
68	21360.87572
69	21289.60124
70	21249.06994
71	21160.67699
72	21019.70494
73	21001.78105
74	20969.23178
75	20936.99267
76	20910.96684
77	20894.81488
78	20841.67076
79	20746.54116
80	20644.46434
81	20601.35634
82	20573.52861
83	20535.16427
84	20501.29684
85	20463.93634
86	20372.36184
87	20271.47063
88	20257.23305
89	20257.05947
90	20210.12456
91	20142.09059
92	20073.38987
93	20046.47418
94	19989.31611
95	19912.87693
96	19882.93479
97	19828.76939
98	19813.26798
99	19726.56632
100	19697.55256
101	19672.31771
102	19606.53113
103	19580.79608
104	19550.18889
105	19462.85096
106	19444.3057
107	19412.38777
108	19389.43537
109	19369.42785
110	19309.71315
111	19241.93205
112	19216.61178
113	19202.20147
114	19139.56418
115	19066.53043
116	19018.55935
117	18997.62586
118	18924.186
119	18901.69342
120	18886.95562
121	18845.65824
122	18771.19821
123	18626.69957
124	18599.73317
125	18591.52149
126	18570.47669
127	18518.39704
128	18508.88258
129	18450.90411
130	18432.93297
131	18416.7672
132	18332.41035
133	18296.46455
134	18284.61326
135	18279.31152
136	18215.3877
137	18200.27812
138	18136.77138
139	18124.85855
140	18108.38781
141	18085.75467
142	18067.81073
143	18010.38674
144	17973.70596
145	17957.25472
146	17925.60485
147	17916.34589
148	17905.91918
149	17845.51301
150	17839.91738
151	17833.8696
152	17801.43088
153	17778.24305
154	17766.16543
155	17711.16125
156	17693.88506
157	17678.70905
158	17663.20122
159	17640.05287
160	17633.40398
161	17621.76647
162	17606.24561
163	17598.50992
164	17534.23064
165	17500.20478
166	17423.97469
167	17400.69077
168	17373.85651
169	17325.29009
170	17291.2999
171	17264.75642
172	17223.92681
173	17191.70738
174	17179.52861
175	17178.78404
176	17160.12382
177	17127.4343
178	17074.12452
179	17063.20182
180	17055.6742
181	17028.26552
182	16977.682
183	16948.67032
184	16875.47687
185	16833.42093
186	16804.92997
187	16786.79327
188	16776.23558
189	16728.84979
190	16709.08799
191	16693.63738
192	16674.6568
193	16640.01585
194	16618.15309
195	16602.43625
196	16577.30238
197	16552.31591
198	16486.04692
199	16443.14556
200	16416.29532
201	16406.32245
202	16368.16147
203	16348.28235
204	16319.37348
205	16278.23623
206	16258.63698
207	16235.38347
208	16223.0276
209	16194.8211
210	16147.84574
211	16109.67724
212	16100.64537
213	16049.51479
214	15983.5752
215	15930.08626
216	15910.80552
217	15899.3874
218	15866.08068
219	15857.87053
220	15847.74387
221	15778.80681
222	15758.3491
223	15713.96614
224	15695.07041
225	15653.11163
226	15623.16221
227	15600.17016
228	15560.11103
229	15521.88654
230	15489.56509
231	15432.64389
232	15402.12879
233	15393.99131
234	15388.87264
235	15365.70445
236	15340.84381
237	15304.97326
238	15284.1619
239	15211.67981
240	15147.12658
241	15125.12215
242	15095.63682
243	15031.57716
244	14982.97433
245	14957.02941
246	14951.85716
247	14925.16251
248	14901.06268
249	14872.86549
250	14850.00355
251	14825.57847
252	14785.23658
253	14765.37397
254	14734.46704
255	14713.35975
256	14705.97225
257	14685.89316
258	14670.11755
259	14665.83787
260	14640.60439
261	14593.48424
262	14573.73973
263	14515.28847
264	14486.49919
265	14482.22432
266	14478.08408
267	14464.39635
268	14408.06074
269	14366.0704
270	14353.60257
271	14345.43056
272	14329.19593
273	14319.76904
274	14295.33
275	14242.80105
276	14233.17575
277	14177.7231
278	14145.23059
279	14139.58823
280	14125.61832
