iter	Passed	Remaining
0	55	33241
1	60	18164
2	64	12914
3	68	10229
4	72	8685
5	79	7883
6	83	7083
7	87	6447
8	92	6071
9	95	5648
10	99	5330
11	103	5057
12	107	4842
13	111	4657
14	114	4466
15	118	4311
16	125	4292
17	134	4339
18	143	4379
19	153	4441
20	162	4470
21	172	4526
22	179	4492
23	183	4395
24	186	4288
25	190	4205
26	194	4126
27	198	4048
28	201	3972
29	205	3908
30	209	3841
31	213	3783
32	217	3735
33	220	3678
34	224	3631
35	229	3588
36	232	3537
37	236	3492
38	240	3458
39	244	3421
40	248	3387
41	252	3349
42	256	3322
43	260	3291
44	264	3259
45	268	3230
46	272	3208
47	276	3180
48	280	3154
49	284	3132
50	289	3113
51	293	3093
52	297	3071
53	301	3045
54	304	3016
55	308	2997
56	311	2968
57	315	2950
58	319	2932
59	323	2915
60	327	2895
61	331	2874
62	335	2856
63	338	2838
64	342	2822
65	345	2797
66	349	2780
67	353	2764
68	356	2744
69	360	2727
70	364	2713
71	368	2700
72	372	2686
73	376	2674
74	380	2662
75	384	2650
76	392	2662
77	396	2653
78	403	2660
79	408	2653
80	411	2638
81	415	2627
82	420	2616
83	423	2602
84	427	2591
85	431	2580
86	435	2568
87	439	2555
88	443	2543
89	444	2521
90	448	2511
91	452	2500
92	456	2491
93	461	2482
94	465	2472
95	468	2460
96	472	2451
97	476	2441
98	480	2431
99	484	2420
100	487	2409
101	491	2399
102	495	2391
103	499	2381
104	503	2373
105	507	2362
106	510	2351
107	514	2345
108	518	2337
109	522	2326
110	525	2316
111	529	2307
112	533	2299
113	537	2289
114	540	2281
115	544	2273
116	548	2265
117	552	2256
118	556	2248
119	559	2239
120	565	2237
121	585	2293
122	605	2346
123	615	2362
124	626	2379
125	637	2398
126	649	2420
127	658	2428
128	666	2435
129	679	2456
130	688	2463
131	695	2466
132	702	2468
133	713	2479
134	723	2491
135	735	2509
136	746	2521
137	757	2534
138	766	2543
139	771	2534
140	775	2524
141	779	2514
142	782	2501
143	786	2489
144	789	2477
145	792	2464
146	797	2457
147	801	2446
148	805	2438
149	809	2429
150	813	2420
151	818	2411
152	822	2403
153	827	2395
154	831	2385
155	834	2375
156	838	2366
157	842	2356
158	846	2348
159	851	2341
160	855	2332
161	859	2324
162	863	2314
163	866	2304
164	870	2295
165	874	2286
166	879	2279
167	883	2271
168	889	2268
169	896	2267
170	902	2264
171	907	2258
172	914	2258
173	925	2266
174	929	2257
175	933	2247
176	937	2239
